"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
"C09DB01",,,,"AMLOSARTAN","ПАТ ""Фармак"", м. Київ, Україна",,"tablets,
10 mg / 160 mg;
5 mg / 160 mg;
5 mg / 80 mg;","https://compendium. com.ua/info/326503/",,"Valsartan /
Аmlodipine","Валсартану /
Амлодипін","АМЛОСАРТАН",,"таблетки, по
10 мг/160 мг;
5 мг/160 мг;
5 мг/80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"ADENIZ‐AM","ТОВ НВФ
""Мікрохім"", м. Рубіжне, Луганська
обл., Україна",,"tablets,
80 mg / 5 mg;
160 mg / 5 mg;
160 mg / 10 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 8974",,"Valsartan /
Аmlodipine","Валсартану /
Амлодипін","АДЕНІЗ‐АМ",,"таблетки, по
80 мг/5 мг;
160 мг/5 мг;
160 мг/10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"BI‐SAKORD","Балканфарма ‐ Дупниця АД",,"tablets,
10 mg / 160 mg;
5 mg / 160 mg;
5 mg / 80 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 2419",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","БІ‐САКОРД",,"таблетки, по
10 мг/160 мг;
5 мг/160 мг;
5 мг/80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VAZAR A","Балканфарма‐ Дупниця АТ, Болгарія",,"tablets,
10 mg / 160 mg;
5 mg / 160 mg;
5 mg / 80 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 2499",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ВАЗАР А",,"таблетки, по
10 мг/160 мг;
5 мг/160 мг;
5 мг/80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VALODIP®","КРКА‐ФАРМА",,"tablets,
10 mg / 160 mg;
5 mg / 160 mg;
5 mg / 80 mg;","https://compendium. com.ua/info/251860/
valodip/",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ВАЛОДІП",,"таблетки, по
10 мг/160 мг;
5 мг/160 мг;
5 мг/80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VALSAR‐AM","Ауробіндо Фарма Лімітед ‐ Юніт VII",,"tablets,
10 mg / 160 mg;
5 mg / 160 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4
2528",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ВАЛСАР‐АМ",,"таблетки, по
10 мг/160 мг;
5 мг/160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VANATEX A","Фармацевтичний завод ""ПОЛЬФАРМА"" С.А.,
Польща",,"tablets,
5 mg / 80 mg;
10 mg / 160 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 8466",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ВАНАТЕКС A",,"таблетки, по
5 мг/80 мг;
10 мг/160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VALEMBIC 5;
VALEMBIC 10;","Алємбік Фармас'ютікелс
Лімітед, Індія",,"tablets,
5 mg / 160 mg;
10 mg / 160 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4
8487",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ВАЛЄМБІК 5;
ВАЛЄМБІК 10;",,"таблетки, по
5 мг /160 мг;
10 мг /160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"VALMISAR А 80/5; VALMISAR А 160/5; VALMISAR А 160/10;","Маклеодс Фармасьютикалс Лімітед, Індія",,"tablets,
80 mg / 5 mg; 160 mg / 5 mg;
160 mg / 10 mg;","",,"Valsartan /
Аmlodipine","Валсартан /
Амлодипін","ВАЛМІСАР А 80/5; ВАЛМІСАР А 160/5; ВАЛМІСАР А 160/10;",,"таблетки, по 80 мг /5 мг; 160 мг /5 мг;
160 мг /10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"DIFORS 80;
DIFORS 160; DIFORS XL;","ТОВ ""Фарма Старт"", м.Київ, Україна",,"tablets,
5 mg / 160 mg;
5 mg / 80 mg;
10 mg / 160 mg ;","https://compendium. com.ua/info/200327/
difors‐xl/",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","ДІФОРС 80;
ДІФОРС 160;
ДІФОРС XL;",,"таблетки, по
5 мг/160 мг;
5 мг/80 мг;
10 мг/160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB01",,,,"KOMBISART","АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ
ЗАВОД"", Україна",,"tablets, by
5 mg / 160 mg;","https://compendium. com.ua/info/255179/
326745/",,"Аmlodipine / Valsartan","Амлодипін /
Валсартан","КОМБІСАРТ",,"таблетки, по
5 мг/160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB02",,,,"АТТЕNТО® 20/5; АТТЕNТО® 40/5; АТТЕNТО® 40/10;","Даічі Санкіо Юроуп ГмбХ, Німеччина БЕРЛІН‐ХЕМІ АГ,
Німеччина",,"tablets,
20 mg / 5 mg;
40 mg / 5 mg;
40 mg / 10 mg;","https://compendium. com.ua/info/220139/
attento‐sup‐sup‐/",,"Olmesartan medoxomil / Аmlodipine","Олмесартану медоксоміл / Амлодипін","АТТЕНТО® 20/5; АТТЕНТО® 40/5; АТТЕНТО® 40/10;",,"таблетки, по
20 мг/5 мг;
40 мг/5 мг;
40 мг/10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB02",,,,"SEVIKAR","Даічі Санкіо Юроуп ГмбХ, Німеччина БЕРЛІН‐ХЕМІ АГ,
Німеччина",,"tablets,
20 mg / 5 mg;
40 mg / 10 mg;
40 mg / 5 mg;","https://compendium. com.ua/info/449028/
525163/",,"Olmesartan medoxomil / Amlodipine","Олмесартану медоксоміл / Амлодипін","СЕВІКАР",,"таблетки, по
20 мг/5 мг;
40 мг/10 мг;
40 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB04",,,,"ATERA A","Фармацевтичний Завод ""Польфарма"" С. А., Польща",,"tablets,
40 mg / 5 mg;
40 mg / 10 mg
80 mg / 5 mg;
80 mg / 10 mg;","https://likicontrol.co m.ua/%D1%96%D0%
BD%D1%81%D1%82
%D1%80%D1%83%D 0%BA%D1%86%D1%
96%D1%8F/?[38480",,"Telmisartan /
Аmlodipine","Телмісартан /
Амлодипін","АТЕРА А",,"таблетки по
40 мг/5 мг;
40 мг/10 мг,
80 мг/5 мг;
80 мг/10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB04",,,,"IZICARD® A","Евертоджен Лайф Саєнсиз Лімітед, Індія",,"tablets,
40 mg / 10 mg;
40 mg / 5 mg;
80 mg / 10 mg;
80 mg / 5 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 5963",,"Telmisartan / Amlodipine","Телмісартан /
Амлодипін","ІЗІКАРД® А",,"таблетки по
40 мг/10 мг;
40 мг/5 мг;
80 мг/10 мг;
80 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB04",,,,"TELDIPIN®","КРКА, д.д., Ново место, Словенія",,"tablets,
40 mg / 10 mg;
40 mg / 5 mg;
80 mg / 10 mg;
80 mg / 5 mg;","https://compendium. com.ua/info/362791/
teldipin/",,"Telmisartan / Amlodipine","Телмісартан /
Амлодипін","ТЕЛДІПІН",,"таблетки, по
40 мг/10 мг;
40 мг/5 мг;
80 мг/10 мг;
80 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB04",,,,"TELSARTAN DUO","Д‐р Редді'с Лабораторіс Лімітед, Індія",,"tablets,
40 mg / 10 mg;
40 mg / 5 mg;
80 mg / 10 mg;
80 mg / 5 mg;","https://mozdocs.kiev
.ua/likiview.php?id=5 0859",,"Telmisartan / Amlodipine","Телмісартан /
Амлодипін","ТЕЛСАРТАН ДУО",,"таблетки по
40 мг/10 мг;
40 мг/5 мг;
80 мг/10 мг;
80 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB06",,,,"LORTENZA","КРКА, д.д., Ново место, Словенія/ ТАД Фарма ГмбХ, Німеччина/
Лабор ЛС СЕ & Ко. КГ,
Німеччина",,"tablets,
100 mg / 10 mg;
50 mg / 5 mg;
50 mg / 10 mg;
100 mg / 5 mg;","https://likicontrol.co m.ua/%D1%96%D0%
BD%D1%81%D1%82
%D1%80%D1%83%D 0%BA%D1%86%D1%
96%D1%8F/?[36883",,"Losartan /
Аmlodipine","Лозартан / Амлодипін","ЛОРТЕНЗА®",,"таблетки, по
100 мг/10 мг;
50 мг/5 мг;
50 мг/10 мг;
100 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB07",,,,"CARZAP®‐A","ТОВ ""Зентіва"",
Чеська Республіка",,"tablets on
16 mg / 10 mg;
8 mg / 5 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4
3328",,"Candesartan / Amlodipine","Кандесартан /
Амлодипін","КАРЗАП®‐А",,"таблетки по
16 мг/10 мг;
8 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DB07",,,,"SARTAPIN","Салютас Фарма ГмбХ, Німеччина",,"capsules,
16 mg / 10 mg;
16 mg / 5 mg;
8 mg / 5 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4 7279",,"Candesartan / Amlodipine","Кандесартан /
Амлодипін","САРТАПІН",,"капсули, по
16 мг/10 мг;
16 мг/5 мг;
8 мг/5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"ADENIZ‐TRIO","ТОВ Науково‐ виробнича фірма ""Мікрохім"", м.
Рубіжне, Луганська
обл., Україна",,"tablets,
160 mg / 5 mg / 12.5 mg;
160 mg / 10 mg /
12.5 mg","https://compendium. com.ua/info/360702/",,"Valsartan / Amlodipine / Hydrochlorothiazide","Валсартан / Амлодипіну / Гідрохлоротіазид","АДЕНІЗ‐ТРІО",,"таблетки, по
160 мг/5 мг/12,5 мг; 160 мг/10 мг/12,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"VALMISAR НА 160/12.5/10; VALMISAR НА 160/12.5/5;","Маклеодс Фармасьютикалс Лімітед, Індія",,"tablets,
160 mg / 12.5 mg / 10 mg;
160 mg / 12.5 mg / 5 mg;","https://likicontrol.co m.ua/%D1%96%D0%
BD%D1%81%D1%82
%D1%80%D1%83%D 0%BA%D1%86%D1%
96%D1%8F/?[37707",,"Valsartan / Hydrochlorothiazide
/ Amlodipine","Валсартан / Гідрохлоротіазид / Амлодипін","ВАЛМІСАР НА 160/12.5/10; ВАЛМІСАР НА 160/12.5/5;",,"таблетки, по
160 мг/12.5 мг /10 мг;
160 мг/12.5 мг /5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"EXFORGE H","Новартіс Фарма Штейн АГ, Швейцарія",,"tablets,
10 mg / 160 mg /
12.5 mg;
10 mg / 160 mg / 25 mg;
5 mg / 160 mg / 12.5 mg;
5 mg / 160 mg / 25
mg;","https://compendium. com.ua/info/211454/
eksforzh‐n/",,"Аmlodipine / Valsartan / Нydrochlorothiazide","Амлодипін / Валсартан / Гідрохлоротіазид","ЕКСФОРЖ Н",,"таблетки, по
10 мг/160 мг/12,5 мг;
10 мг/160 мг/25 мг; 5 мг/160 мг/12,5 мг; 5 мг/160 мг/25 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"CO‐VALODIP","КРКА, д.д., Ново место, Словенія",,"tablets,
10 mg / 160 mg /
12.5 mg;
10 mg / 160 mg / 25 mg;
5 mg / 160 mg / 12.5
mg;","https://compendium. com.ua/info/356781/",,"Valsartan / Amlodipine / Hydrochlorothiazide","Амлодипіну Валсартан / Гідрохлоротіазид","КО‐ВАЛОДІП",,"таблетки, по
10 мг/160 мг/12,5 мг;
10 мг/160 мг/25 мг; 5 мг/160 мг/12,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"KOMBISART H","АТ ""Київський вітамінний завод"", м.Київ, Україна",,"tablets,
10 mg / 160 mg /
12.5 mg;
5 mg / 160 mg / 12.5
mg ;","https://compendium. com.ua/info/255180/
352826/",,"Valsartan / Amlodipine / Hydrochlorothiazide","Амлодипін / Валсартан / Гідрохлортіазид","КОМБІСАРТ Н",,"таблетки, по
10 мг/160 мг/12,5 мг;
5 мг/160 мг/12,5 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX01",,,,"TIARA TRIO","ПрАТ
""Фармацевтична фірма ""Дарниця"", Україна",,"tablets,
10 mg / 12.5 mg /
160 mg;
5 mg / 12.5 mg / 160 mg;
5 mg / 12.5 mg / 160
mg;","https://compendium. com.ua/info/255185/
tiara‐trio‐sup‐sup‐/",,"Amlodipine / Hydrochlorothiazide
/ Valsartan","Амлодипін / Гідрохлортіазид / Валсартан","ТІАРА ТРІО®",,"таблетки, по
10 мг/12,5 мг/160 мг;
5 мг/12,5 мг/160 мг; 5 мг/12,5 мг/160 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX03",,,,"SEVIKAR HCT","Даічі Санкіо Юроуп ГмбХ, Німеччина БЕРЛІН‐ХЕМІ АГ,
Німеччина",,"tablets,
20 mg / 5 mg / 12.5 mg;
40 mg / 10 mg / 12.5 mg;
40 mg / 10 mg / 25 mg;
40 mg / 5 mg / 12.5 mg;
40 mg / 5 mg / 25
mg;","https://compendium. com.ua/info/358394/",,"Olmesartan medoxomil / Amlodipine / Hydrochlorothiazide","Олмесартану медоксоміл / Амлодипін / Гідрохлоротіазид","СЕВІКАР НСТ",,"таблетки, по
20 мг/5 мг/12,5 мг; 40 мг/10 мг/12,5 мг; 40 мг/10 мг/25 мг; 40 мг/5
мг/12,5 мг; 40 мг/5 мг/25 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C09DX04",,,,"UPERIO®","Новартіс Фарма С.п.А., Італія",,"tablets, 50 mg; 100
mg; 200 mg;","https://compendium. com.ua/info/334935/
juperio/",,"Valsartan/ Sacubitril","Сакубітрил /
Валсартан","ЮПЕРІО",,"таблетки, по 50 мг; 100 мг; 200 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SIMVASTATIN SANDOZ®","Сандоз Груп Саглик Урунлері Ілакларі Сан. ве Тік. А.С.",,"tablets, 20 mg; 40 mg;","https://compendium. com.ua/info/351144/
simvastatin‐sandoz‐
sup‐sup‐/","C10AA01","Simvastatin","Симвастатин","СИМВАСТАТИН САНДОЗ®",,"таблетки, по 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ALLESTA®","АЛКАЛОЇД АД
Скоп’є, Республіка
Північна Македонія",,"tablets, 10 mg; 20
mg; 40 mg;","https://compendium. com.ua/info/169638/","C10AA01","Simvastatin","Симвастатин","АЛЛЕСТА®",,"таблетки, по 10 мг; 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VASILIP®","КРКА, д.д., Ново место, Словенія",,"tablets, 40 mg; 20
mg; 10 mg;","https://compendium. com.ua/info/152546/
vazilip‐sup‐sup‐/","C10AA01","Simvastatin","Симвастатин","ВАЗИЛІП®",,"таблетки, по 40 мг; 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VASOSTAT‐ ZDOROVYE","ТОВ
""Фармацевтична компанія
""Здоров'я"", Україна",,"tablets, 40 mg; 20
mg; 10 mg;","https://compendium. com.ua/info/169921/
vazostat‐zdorov_e/","C10AA01","Simvastatin","Симвастатин","ВАЗОСТАТ‐ ЗДОРОВ’Я",,"таблетки, по 40 мг; 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZOCOR","Мерк Шарп і Доум
Б.В., Нідерланди",,"tablets, 20 mg;","","C10AA01","Simvastatin","Симвастатин","ЗОКОР®",,"таблетки, по 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ZOCOR FORTE","Мерк Шарп і Доум
Б.В., Нідерланди",,"tablets, 40 mg;","","C10AA01","Simvastatin","Симвастатин","ЗОКОР® ФОРТЕ",,"таблетки, по 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"KARDAK","Ауробіндо Фарма
Лімітед, Індія",,"tablets, 10 mg; 20
mg; 40 mg;","","C10AA01","Simvastatin","Симвастатин","КАРДАК",,"таблетки, по 10 мг;
20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SIMVASTATIN 10 ANANTA; SIMVASTATIN 20 ANANTA; SIMVASTATIN 40
ANANTA;","Марксанс Фарма Лтд., Індія",,"tablets, 10 mg; 20
mg; 40 mg;","","C10AA01","Simvastatin","Симвастатин","СИМВАСТАТИН 10 АНАНТА; СИМВАСТАТИН 20 АНАНТА; СИМВАСТАТИН 40
АНАНТА;",,"таблетки, по 10 мг; 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SIMVASTATIN TEVA","АТ Фармацевтичний завод ТЕВА,
Угорщина",,"tablets, 20 mg; 40
mg; 80 mg;","","C10AA01","Simvastatin","Симвастатин","СИМВАСТАТИН‐ ТЕВА",,"таблетки, по 20 мг; 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SIMVASTEROL","Фармацевтичний завод ""ПОЛЬФАРМА"" С.А.,
Польща",,"tablets, 20 mg; 40 mg;","","C10AA01","Simvastatin","Симвастатин","СИМВАСТЕРОЛ",,"таблетки, по 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORVASTATIN‐TEVA","Тева Фарма С.Л.У., Іспанія",,"tablets, 10 mg; 20
mg; 40 mg; 80 mg;","https://compendium. com.ua/info/339261/
atorvastatin‐teva/","C10AA05","Atorvastatin","Аторвастатин","АТОРВАСТАТИН‐ ТЕВА",,"таблетки, по 10 мг; 20 мг; 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ASTIN","Мікро Лабс Лімітед, Індія",,"tablets, 80 mg; 40
mg; 20 mg; 10 mg;","https://mozdocs.kiev
.ua/likiview.php?id=4
2095","C10AA05","Atorvastatin","Аторвастатин","АСТИН®",,"таблетки, по 80 мг; 40 мг; 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATOCOR","Д‐р Редді'с Лабораторіс Лтд,
Індія",,"tablets, 10 mg; 20 mg;","https://compendium. com.ua/info/168322/
atokor/","C10AA05","Atorvastatin","Аторвастатин","АТОКОР",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ESCOLAN – SANOVEL","Сановель Іляч Санаі ве Тиджарет А.Ш.,
Туреччина",,"tablets, 40 mg; 20
mg; 10 mg;","","C10AA05","Atorvastatin","Аторвастатин","ЕСКОЛАН‐ САНОВЕЛЬ",,"таблетки, по 40 мг; 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORVASTATIN 10 ANANTA; ATORVASTATIN 20
ANANTA;","Фламінго Фармасьютикалс Лтд., Індія",,"tablets, 10 mg; 20 mg;","","C10AA05","Atorvastatin","Аторвастатин","АТОРВАСТАТИН 10 АНАНТА; АТОРВАСТАТИН 20
АНАНТА;",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORVASTATIN KRKA","КРКА, д.д., Ново место, Словенія",,"tablets, 80 mg; 60
mg; 40 mg; 30 mg; 20
mg, 10 mg","","C10AA05","Atorvastatin","Аторвастатин","АТОРВАСТАТИН КРКА",,"таблетки, по 80 мг; 60 мг; 40 мг; 30 мг;
20 мг;10 мг",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORVASTEROL®","Фармацевтичний завод “Польфарма”
С.А.",,"tablets, 40 mg; 20
mg; 10 mg;","","C10AA05","Atorvastatin","Аторвастатин","АТОРВАСТЕРОЛ",,"таблетки, по 40 мг; 20 мг; 10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORIS®","КРКА, д.д., Ново место, Словенія",,"tablets, 10 mg; 20
mg; 40 mg; 60 mg; 80
mg;","","C10AA05","Atorvastatin","Аторвастатин","АТОРИС®",,"таблетки, по 10 мг; 20 мг; 40 мг; 60 мг;
80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATORVAKOR","АТ ""Фармак"",
Україна",,"tablets, 10 mg; 20
mg; 40 mg; 80 mg;","","C10AA05","Atorvastatin","Аторвастатин","АТОРВАКОР®",,"таблетки, по 10 мг;
20 мг; 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"VASOCLEAN‐ DARNITSA","ПрАТ
""Фармацевтична фірма ""Дарниця"",
Україна",,"tablets, 20 mg, 10 mg;","","C10AA05","Atorvastatin","Аторвастатин","ВАЗОКЛІН‐ДАРНИЦЯ",,"таблетки, по 20
мг;10 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ATSAT®","ТОВ ""КУСУМ
ФАРМ"", м. Суми,
Україна",,"tablets, 10 mg; 20
mg; 40 mg; 80 mg;","","C10AA05","Atorvastatin","Аторвастатин","ЕТСЕТ®",,"таблетки, по 10 мг; 20 мг; 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"LIVOSTOR","ПАТ ""Київський вітамінний завод"",
м. Київ, Україна",,"Tablets, 10 mg; 20
mg; 40 mg;","","C10AA05","Atorvastatin","Аторвастатин","ЛІВОСТОР",,"Таблетки, по 10 мг; 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"LIMISTIN 10;
LIMISTIN 20;
LIMISTIN 40;","Марксанс Фарма Лтд., Індія",,"tablets, 10 mg; 20
mg; 40 mg;","","C10AA05","Atorvastatin","Аторвастатин","ЛІМІСТИН 10;
ЛІМІСТИН 20;
ЛІМІСТИН 40;",,"таблетки, по 10 мг; 20 мг; 40 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"LIPODEMIN","Актавіс Лтд, Мальта",,"tablets, 10 mg; 20
mg;","","C10AA05","Atorvastatin","Аторвастатин","ЛІПОДЕМІН",,"таблетки, по 10 мг;
20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"STORVAS","Сан Фармасьютикал Індастріз Лімітед,
Індія",,"tablets, 10 mg; 20 mg;","","C10AA05","Atorvastatin","Аторвастатин","СТОРВАС",,"таблетки, по 10 мг; 20 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"LIPRIMAR®","Пфайзер Менюфекчуринг Дойчленд ГмбХ,
Німеччина",,"tablets, 10 mg, 20
mg; 40 mg; 80 mg;","","C10AA05","Atorvastatin","Аторвастатин","ЛІПРИМАР®",,"таблетки, по 10
мг;20 мг; 40 мг; 80
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"","Торрент Фармасьютікалс Лтд, Індія",,"tablets, 10 mg, 20
mg; 40 mg; 80 mg;","","C10AA05","Atorvastatin","Аторвастатин","МОДЛІП 10;
МОДЛІП 20;
МОДЛІП 40;
МОДЛІП 80;",,"таблетки, по 10
мг;20 мг; 40 мг; 80
мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TOLEVAS","НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,
Туреччина",,"tablets, 10 mg; 20
mg; 40 mg; 80 mg;","","C10AA05","Atorvastatin","Аторвастатин","ТОЛЕВАС®",,"таблетки, по 10 мг; 20 мг; 40 мг; 80 мг;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
